자치구별,2018_당해년가격,2019_당해년가격,2020_당해년가격,2021_당해년가격,2022_당해년가격
종로구,30763051000000,31952991000000,31074021000000,33155488000000,34298656000000
중구,59212461000000,59526399000000,60292105000000,66215962000000,71966937000000
용산구,15083040000000,15456977000000,15696785000000,16407415000000,17810231000000
성동구,13144185000000,13531243000000,13807677000000,15933418000000,16751326000000
광진구,7036896000000,7234992000000,7375518000000,7503131000000,8050506000000
동대문구,8638172000000,8460739000000,8649498000000,9016511000000,8990002000000
중랑구,4709947000000,5059034000000,5224735000000,5368569000000,5287511000000
성북구,6108360000000,6199126000000,6271732000000,6433401000000,6460251000000
강북구,3375540000000,3477508000000,3575235000000,3740955000000,4121024000000
도봉구,3535453000000,3552456000000,3750195000000,3759397000000,3651990000000
노원구,6732786000000,6909482000000,6952700000000,7336118000000,7385041000000
은평구,5089665000000,5285298000000,5615767000000,5687396000000,5783329000000
서대문구,8313860000000,8642027000000,8394365000000,8978522000000,8776167000000
마포구,20357606000000,20660850000000,21010217000000,22791466000000,23169325000000
양천구,7338018000000,7376719000000,7462361000000,7855631000000,8287264000000
강서구,17203888000000,17422280000000,16942069000000,18411268000000,20790054000000
구로구,15644516000000,16326446000000,15445696000000,16121175000000,17326224000000
금천구,19714847000000,20253073000000,18920024000000,19620062000000,21034407000000
영등포구,35719274000000,37253391000000,41742081000000,47581928000000,50054466000000
동작구,6683107000000,6660009000000,7158203000000,7278402000000,7614908000000
관악구,5413727000000,5586873000000,5865094000000,6096406000000,6484912000000
서초구,36465683000000,37360049000000,37873149000000,40707817000000,40252087000000
강남구,78135292000000,83473761000000,83304379000000,88825651000000,90033713000000
송파구,27463661000000,28293817000000,30485678000000,32580044000000,33775727000000
강동구,9502798000000,9985141000000,9973937000000,10054571000000,10328424000000
