연도,1,2,3,4,5,6,7,8,9,10,11,12,연간 총계,월평균
2005,12946,17161,37162,31714,49703,20129,33674,18238,24005,26587,62756,29857,363932,30328.0
2006,9557,23993,22324,27557,19452,27834,23937,31883,21380,25546,39318,51219,324000,27000.0
2007,14870,18232,24078,36350,26976,40794,27471,33608,30272,24150,118152,52827,447780,37315.0
2008,18037,9784,13678,16636,20884,22484,21681,16253,10785,12209,14812,10205,187448,15621.0
2009,2686,7551,19830,21546,13977,14869,21787,25141,28513,27496,16673,32482,232551,19379.0
2010,14929,12850,14677,24328,17153,22683,14553,14504,11777,17930,14310,25384,205078,17090.0
2011,10036,13932,29567,45332,32679,29262,27323,27392,31963,58082,51305,67396,424269,35356.0
2012,20765,29699,43580,31510,46243,53476,29836,44892,47467,40752,32772,60003,480995,40083.0
2013,16926,30621,34876,35651,29677,34233,32409,35446,30047,39033,48529,61533,428981,35748.0
2014,20734,33129,36849,52032,38009,49228,35132,34475,46546,62407,58528,56821,523890,43658.0
2015,30502,26920,59057,62956,56135,68134,59122,71032,57354,104356,77552,77050,750170,62514.0
2016,32220,35274,55515,68422,57682,59126,54821,50502,57048,57132,70371,96533,694646,57887.0
2017,28325,42393,43248,42074,37702,44744,40775,53914,48207,35385,46946,104153,567866,47322.0
2018,27078,23427,53420,38873,46330,39055,36462,29555,36301,32248,44885,75770,483404,40284.0
2019,29490,26973,37862,37014,44771,50427,27254,42199,26048,42007,39009,108300,511354,42613.0
2020,17781,22598,38211,45301,45212,49505,60666,32813,44193,35107,36528,109399,537314,44776.0
2021,24734,38009,50315,40572,32825,45312,38599,40373,47120,46087,42060,91389,537395,44783.0
2022,22563,22701,40634,34593,31882,38922,44508,30959,40587,27222,26146,25322,386039,32170.0
2023,21798,14466,20301,11704,12108,16249,14128,14564,18637,22739,35627,43944,246265,20522.0
2024,22726,23352,16919,26103,17181,22135,16532,29227,18348,23206,22030,65674,303433,25286.0
