date,한국_기준금리,미국_기준금리,미국_10년물국채,연월
2015-01-01,2.0,0.11,1.88,2015년 01월
2015-02-01,2.0,0.11,1.98,2015년 02월
2015-03-01,1.75,0.11,2.04,2015년 03월
2015-04-01,1.75,0.12,1.94,2015년 04월
2015-05-01,1.75,0.12,2.2,2015년 05월
2015-06-01,1.5,0.13,2.36,2015년 06월
2015-07-01,1.5,0.13,2.32,2015년 07월
2015-08-01,1.5,0.14,2.17,2015년 08월
2015-09-01,1.5,0.14,2.17,2015년 09월
2015-10-01,1.5,0.12,2.07,2015년 10월
2015-11-01,1.5,0.12,2.26,2015년 11월
2015-12-01,1.5,0.24,2.24,2015년 12월
2016-01-01,1.5,0.34,2.09,2016년 01월
2016-02-01,1.5,0.38,1.78,2016년 02월
2016-03-01,1.5,0.36,1.89,2016년 03월
2016-04-01,1.5,0.37,1.81,2016년 04월
2016-05-01,1.5,0.37,1.81,2016년 05월
2016-06-01,1.25,0.38,1.64,2016년 06월
2016-07-01,1.25,0.39,1.5,2016년 07월
2016-08-01,1.25,0.4,1.56,2016년 08월
2016-09-01,1.25,0.4,1.63,2016년 09월
2016-10-01,1.25,0.4,1.76,2016년 10월
2016-11-01,1.25,0.41,2.14,2016년 11월
2016-12-01,1.25,0.54,2.49,2016년 12월
2017-01-01,1.25,0.65,2.43,2017년 01월
2017-02-01,1.25,0.66,2.42,2017년 02월
2017-03-01,1.25,0.79,2.48,2017년 03월
2017-04-01,1.25,0.9,2.3,2017년 04월
2017-05-01,1.25,0.91,2.3,2017년 05월
2017-06-01,1.25,1.04,2.19,2017년 06월
2017-07-01,1.25,1.15,2.32,2017년 07월
2017-08-01,1.25,1.16,2.21,2017년 08월
2017-09-01,1.25,1.15,2.2,2017년 09월
2017-10-01,1.25,1.15,2.36,2017년 10월
2017-11-01,1.5,1.16,2.35,2017년 11월
2017-12-01,1.5,1.3,2.4,2017년 12월
2018-01-01,1.5,1.41,2.58,2018년 01월
2018-02-01,1.5,1.42,2.86,2018년 02월
2018-03-01,1.5,1.51,2.84,2018년 03월
2018-04-01,1.5,1.69,2.87,2018년 04월
2018-05-01,1.5,1.7,2.98,2018년 05월
2018-06-01,1.5,1.82,2.91,2018년 06월
2018-07-01,1.5,1.91,2.89,2018년 07월
2018-08-01,1.5,1.91,2.89,2018년 08월
2018-09-01,1.5,1.95,3.0,2018년 09월
2018-10-01,1.5,2.19,3.15,2018년 10월
2018-11-01,1.75,2.2,3.12,2018년 11월
2018-12-01,1.75,2.27,2.83,2018년 12월
2019-01-01,1.75,2.4,2.71,2019년 01월
2019-02-01,1.75,2.4,2.68,2019년 02월
2019-03-01,1.75,2.41,2.57,2019년 03월
2019-04-01,1.75,2.42,2.53,2019년 04월
2019-05-01,1.75,2.39,2.4,2019년 05월
2019-06-01,1.75,2.38,2.07,2019년 06월
2019-07-01,1.5,2.4,2.06,2019년 07월
2019-08-01,1.5,2.13,1.63,2019년 08월
2019-09-01,1.5,2.04,1.7,2019년 09월
2019-10-01,1.25,1.83,1.71,2019년 10월
2019-11-01,1.25,1.55,1.81,2019년 11월
2019-12-01,1.25,1.55,1.86,2019년 12월
2020-01-01,1.25,1.55,1.76,2020년 01월
2020-02-01,1.25,1.58,1.5,2020년 02월
2020-03-01,0.75,0.65,0.87,2020년 03월
2020-04-01,0.75,0.05,0.66,2020년 04월
2020-05-01,0.5,0.05,0.67,2020년 05월
2020-06-01,0.5,0.08,0.73,2020년 06월
2020-07-01,0.5,0.09,0.62,2020년 07월
2020-08-01,0.5,0.1,0.65,2020년 08월
2020-09-01,0.5,0.09,0.68,2020년 09월
2020-10-01,0.5,0.09,0.79,2020년 10월
2020-11-01,0.5,0.09,0.87,2020년 11월
2020-12-01,0.5,0.09,0.93,2020년 12월
2021-01-01,0.5,0.09,1.08,2021년 01월
2021-02-01,0.5,0.08,1.26,2021년 02월
2021-03-01,0.5,0.07,1.61,2021년 03월
2021-04-01,0.5,0.07,1.64,2021년 04월
2021-05-01,0.5,0.06,1.62,2021년 05월
2021-06-01,0.5,0.08,1.52,2021년 06월
2021-07-01,0.5,0.1,1.32,2021년 07월
2021-08-01,0.75,0.09,1.28,2021년 08월
2021-09-01,0.75,0.08,1.37,2021년 09월
2021-10-01,0.75,0.08,1.58,2021년 10월
2021-11-01,1.0,0.08,1.56,2021년 11월
2021-12-01,1.0,0.08,1.47,2021년 12월
2022-01-01,1.25,0.08,1.76,2022년 01월
2022-02-01,1.25,0.08,1.93,2022년 02월
2022-03-01,1.25,0.2,2.13,2022년 03월
2022-04-01,1.5,0.33,2.75,2022년 04월
2022-05-01,1.75,0.77,2.9,2022년 05월
2022-06-01,1.75,1.21,3.14,2022년 06월
2022-07-01,2.25,1.68,2.9,2022년 07월
2022-08-01,2.5,2.33,2.9,2022년 08월
2022-09-01,2.5,2.56,3.52,2022년 09월
2022-10-01,3.0,3.08,3.98,2022년 10월
2022-11-01,3.25,3.78,3.89,2022년 11월
2022-12-01,3.25,4.1,3.62,2022년 12월
2023-01-01,3.5,4.33,3.53,2023년 01월
2023-02-01,3.5,4.57,3.75,2023년 02월
2023-03-01,3.5,4.65,3.66,2023년 03월
2023-04-01,3.5,4.83,3.46,2023년 04월
2023-05-01,3.5,5.06,3.57,2023년 05월
2023-06-01,3.5,5.08,3.75,2023년 06월
2023-07-01,3.5,5.12,3.9,2023년 07월
2023-08-01,3.5,5.33,4.17,2023년 08월
2023-09-01,3.5,5.33,4.38,2023년 09월
2023-10-01,3.5,5.33,4.8,2023년 10월
2023-11-01,3.5,5.33,4.5,2023년 11월
2023-12-01,3.5,5.33,4.02,2023년 12월
2024-01-01,3.5,5.33,4.06,2024년 01월
2024-02-01,3.5,5.33,4.21,2024년 02월
2024-03-01,3.5,5.33,4.21,2024년 03월
2024-04-01,3.5,5.33,4.54,2024년 04월
2024-05-01,3.5,5.33,4.48,2024년 05월
2024-06-01,3.5,5.33,4.31,2024년 06월
2024-07-01,3.5,5.33,4.25,2024년 07월
2024-08-01,3.5,5.33,3.87,2024년 08월
2024-09-01,3.5,5.13,3.72,2024년 09월
2024-10-01,3.25,4.83,4.1,2024년 10월
2024-11-01,3.0,4.64,4.36,2024년 11월
2024-12-01,3.0,4.48,4.39,2024년 12월
2025-01-01,3.0,4.33,4.63,2025년 01월
2025-02-01,2.75,4.33,4.45,2025년 02월
2025-03-01,2.75,4.33,4.28,2025년 03월
2025-04-01,2.75,4.33,4.28,2025년 04월
2025-05-01,2.5,4.33,4.42,2025년 05월
2025-06-01,2.5,4.33,4.38,2025년 06월
2025-07-01,2.5,4.33,4.39,2025년 07월
2025-08-01,2.5,4.33,4.26,2025년 08월
2025-09-01,2.5,4.22,4.12,2025년 09월
2025-10-01,,,4.06,2025년 10월
